State,District,Subdivision,Block,Panchayat,Village,Pincode
Odisha,Angul,Angul,Anugul,Baragounia,Baragaunia,759129
Odisha,Angul,Angul,Anugul,Barsinga,Angarbandha,759129
Odisha,Angul,Angul,Anugul,Basala,Basala,759129
Odisha,Angul,Angul,Anugul,Baulapur,Nandapur,759132
Odisha,Angul,Angul,Anugul,Bedashasana,Bedasasan,759129
Odisha,Angul,Angul,Anugul,Beherasahi,Tikarpada,759132
Odisha,Angul,Angul,Anugul,Betar,Saradhapur,759132
Odisha,Angul,Angul,Anugul,Bhagabatpur,Tainsi,759127
Odisha,Angul,Angul,Anugul,Bhagamunda,Purunakot,759132
Odisha,Angul,Angul,Anugul,Bhagatpur,Kunursingha,759129
Odisha,Angul,Angul,Anugul,Bhalumunda,Antula,759126
Odisha,Angul,Angul,Anugul,Bherubania,Basala,759129
Odisha,Angul,Angul,Anugul,Bhubanapurjungle,Talagarh,759129
Odisha,Angul,Angul,Anugul,Bidisinga,Manikjodi,759129
Odisha,Angul,Angul,Anugul,Biswanathapur,Balasingha,759129
Odisha,Angul,Angul,Anugul,Brahmanposi,Balasingha,759129
Odisha,Angul,Angul,Anugul,Brahmapur,Nandapur,759132
Odisha,Angul,Angul,Anugul,Bramhanasahi,Matiasahi,759129
Odisha,Angul,Angul,Anugul,Bruti,Jagannathpur,759132
Odisha,Angul,Angul,Anugul,Champatimunda,Badakera,759132
Odisha,Angul,Angul,Anugul,Chandanpur,Nandapur,759132
Odisha,Angul,Angul,Anugul,Chandrabahala,Rantalai,759132
Odisha,Angul,Angul,Anugul,Charadapita,Balasingha,759129
Odisha,Angul,Angul,Anugul,Chatiagaji,Bedasasan,759129
Odisha,Angul,Angul,Anugul,Chheliapada,Chhelipada,759129
Odisha,Angul,Angul,Anugul,Chhotkei(Chhotakoi),Purunakot,759132
Odisha,Angul,Angul,Anugul,Dalabeherasahi,Badakera,759132
Odisha,Angul,Angul,Anugul,Dalaki,Kothabhuin,759127
Odisha,Angul,Angul,Anugul,Dalasinga,Kothabhuin,759127
Odisha,Angul,Angul,Anugul,Dandasinga,Antula,759127
Odisha,Angul,Angul,Anugul,Dhokata,Dhokuta,759129
Odisha,Angul,Angul,Anugul,Dimiripal,Balanga,759132
Odisha,Angul,Angul,Anugul,Fulpal,Balasingha,759129
Odisha,Angul,Angul,Anugul,Gadatarasa,Gadatarasha,759129
Odisha,Angul,Angul,Anugul,Gadeimunda,Saradhapur,759132
Odisha,Angul,Angul,Anugul,Gaindi,Tikarpada,759132
Odisha,Angul,Angul,Anugul,Ganjada,Antula,759129
Odisha,Angul,Angul,Anugul,Gaudasahi,Matiasahi,759129
Odisha,Angul,Angul,Anugul,Godibandha,Matiasahi,759129
Odisha,Angul,Angul,Anugul,Gohirapasi,Bedasasan,759129
Odisha,Angul,Angul,Anugul,Gopalpur,Dhokuta,759129
Odisha,Angul,Angul,Anugul,Gopalpur,Purunakot,759132
Odisha,Angul,Angul,Anugul,Gopalpur Jungle,Dhokuta,759129
Odisha,Angul,Angul,Anugul,Gopinathapur,Matiasahi,759125
Odisha,Angul,Angul,Anugul,Gopinathpur(Part),Susuda,759132
Odisha,Angul,Angul,Anugul,Guranga,Badakera,759132
Odisha,Angul,Angul,Anugul,Gurudhi,Saradhapur,759132
Odisha,Angul,Angul,Anugul,Hamamira,Bedasasan,759129
Odisha,Angul,Angul,Anugul,Hanadiha,Balasingha,759129
Odisha,Angul,Angul,Anugul,Haribereni,Rantalai,759132
Odisha,Angul,Angul,Anugul,Haripur,Pokatunga,759129
Odisha,Angul,Angul,Anugul,Hatibari,Tikarpada,759132
Odisha,Angul,Angul,Anugul,Hidising,Balanga,759132
Odisha,Angul,Angul,Anugul,Hinjadoli,Tainsi,759127
Odisha,Angul,Angul,Anugul,Hinjagola,Tainsi,759127
Odisha,Angul,Angul,Anugul,Hinsaloi,Antula,759132
Odisha,Angul,Angul,Anugul,Hinsaloi,Nandapur,759132
Odisha,Angul,Angul,Anugul,Hinsrida,Jagannathpur,759132
Odisha,Angul,Angul,,Hulurisingha,,759132
Odisha,Angul,Angul,Anugul,Inkarabandha,Inkarbandha,759129
Odisha,Angul,Angul,Anugul,Jadupur,Angarbandha,759129
Odisha,Angul,Angul,Anugul,Jaganathpur,Jagannathpur,759132
Odisha,Angul,Angul,Anugul,Jamugadia,Badakantakul,759129
Odisha,Angul,Angul,Anugul,Jamunda,Gadatarasha,759132
Odisha,Angul,Angul,Anugul,Jararpur,Bantala,759129
Odisha,Angul,Angul,Anugul,Jokub,Balanga,759132
Odisha,Angul,Angul,Anugul,Kabulipal,Kunursingha,759129
Odisha,Angul,Angul,Anugul,Kadalibereni,Antula,759129
Odisha,Angul,Angul,Anugul,Kaleipada,Baragaunia,759129
Odisha,Angul,Angul,Anugul,Kandhakoili,Manikjodi,759129
Odisha,Angul,Angul,Anugul,Kangula,Kangula Bentapur,759132
Odisha,Angul,Angul,Anugul,Kanhei Nagar,Dhokuta,759129
Odisha,Angul,Angul,Anugul,Kanja,Badakantakul,759129
Odisha,Angul,Angul,Anugul,Kansanali,Balasingha,759129
Odisha,Angul,Angul,Anugul,Kantabeda,Tainsi,759127
Odisha,Angul,Angul,Anugul,Kantamegha,Talagarh,759129
Odisha,Angul,Angul,Anugul,Karadaberenijungle,Tikarpada,759132
Odisha,Angul,Angul,Anugul,Karadapada,Tikarpada,759132
Odisha,Angul,Angul,Anugul,Karadasinga,Nandapur,759132
Odisha,Angul,Angul,Anugul,Karamangasahi,Matiasahi,759129
Odisha,Angul,Angul,Anugul,Karatpata,Nandapur,759132
Odisha,Angul,Angul,Anugul,Karnapur,Rantalai,759103
Odisha,Angul,Angul,Anugul,Katranga(Bada),Tikarpada,759132
Odisha,Angul,Angul,Anugul,Katranga(Sana),Tikarpada,759132
Odisha,Angul,Angul,Anugul,Khalagaon,Sankhapur,759129
Odisha,Angul,Angul,Anugul,Khalamba,Manikjodi,759129
Odisha,Angul,Angul,Anugul,Khalari,Khalari,759132
Odisha,Angul,Angul,Anugul,Khamar,Khalari,759132
Odisha,Angul,Angul,Anugul,Khandahata,Angarbandha,759132
Odisha,Angul,Angul,Anugul,Khaparakhai,Balasingha,759129
Odisha,Angul,Angul,Anugul,Khinda,Khinda,759129
Odisha,Angul,Angul,Anugul,Khindagobindapur,Bedasasan,759129
Odisha,Angul,Angul,Anugul,Kothabhuin,Kothabhuin,759127
Odisha,Angul,Angul,Anugul,Krusnachakra,Manikjodi,759129
Odisha,Angul,Angul,Anugul,Kulangi,Jagannathpur,759132
Odisha,Angul,Angul,Anugul,Kulasara,Manikjodi,759129
Odisha,Angul,Angul,Anugul,Kulasinga,Saradhapur,759132
Odisha,Angul,Angul,Anugul,Kumuri,Kothabhuin,759127
Odisha,Angul,Angul,Anugul,Kumurisinga,Kunursingha,759129
Odisha,Angul,Angul,Anugul,Kurudu,Manikjodi,759129
Odisha,Angul,Angul,Anugul,Kusumapat,Nandapur,759132
Odisha,Angul,Angul,Anugul,Labangi,Balanga,759132
Odisha,Angul,Angul,Anugul,Lachhabandha,Dhokuta,759129
Odisha,Angul,Angul,Anugul,Laxmanapur,Antula,759129
Odisha,Angul,Angul,Anugul,Lingarajori,Nuamauja,759129
Odisha,Angul,Angul,Anugul,Lokeipasi,Basala,759129
Odisha,Angul,Angul,Anugul,Madanmohan Patna,Matiasahi,759129
Odisha,Angul,Angul,Anugul,Madhapur,Nandapur,759132
Odisha,Angul,Angul,Anugul,Madhapur Jungle,Nandapur,759132
Odisha,Angul,Angul,Anugul,Madhupur,Nandapur,759132
Odisha,Angul,Angul,Anugul,Magurakhala,Baragaunia,759129
Odisha,Angul,Angul,Anugul,Mahulia,Tikarpada,759132
Odisha,Angul,Angul,Anugul,Maidharapada,Khinda,759129
Odisha,Angul,Angul,Anugul,Majhipada,Tikarpada,759132
Odisha,Angul,Angul,Anugul,Malisahi,Nuamauja,759125
Odisha,Angul,Angul,Anugul,Manapur,Pokatunga,759129
Odisha,Angul,Angul,Anugul,Manikajori,Manikjodi,759129
Odisha,Angul,Angul,Anugul,Maranda,Khinda,759129
Odisha,Angul,Angul,Anugul,Matiasahi,Matiasahi,759129
Odisha,Angul,Angul,Anugul,Musapapuli,Rantalai,759132
Odisha,Angul,Angul,Anugul,Naimunda,Kothabhuin,759127
Odisha,Angul,Angul,Anugul,Nandapur,Nandapur,759132
Odisha,Angul,Angul,Anugul,Narayanpur,Bantala,759129
Odisha,Angul,Angul,Anugul,Nuabhuin,Jagannathpur,759132
Odisha,Angul,Angul,Anugul,Nuagan,Badakantakul,759129
Odisha,Angul,Angul,Anugul,Nuagan,Chhelipada,759129
Odisha,Angul,Angul,Anugul,Nuakheta,Badakantakul,759129
Odisha,Angul,Angul,Anugul,Nuamauja,Nuamauja,759129
Odisha,Angul,Angul,Banarpal,Nuapada,Kurudol,759123
Odisha,Angul,Angul,Anugul,Nuapada,Tainsi,759127
Odisha,Angul,Angul,Anugul,Nukhuripada,Gadatarasha,759129
Odisha,Angul,Angul,Anugul,Olaberi,Kothabhuin,759127
Odisha,Angul,Angul,Anugul,Pabala,Nandapur,759132
Odisha,Angul,Angul,Anugul,Pampasar,Balanga,759132
Odisha,Angul,Angul,Anugul,Panabhuin,Gadatarasha,759129
Odisha,Angul,Angul,Anugul,Panagobindapur,Dhokuta,759129
Odisha,Angul,Angul,Anugul,Panchamahala,Nuamauja,759129
Odisha,Angul,Angul,Anugul,Pandupur,Balasingha,759129
Odisha,Angul,Angul,Anugul,Panjiasahi,Badakera,759132
Odisha,Angul,Angul,Anugul,Pateli,Kunursingha,759129
Odisha,Angul,Angul,Anugul,Pathargada,Saradhapur,759132
Odisha,Angul,Angul,Anugul,Podakhaman,Rantalai,759132
Odisha,Angul,Angul,Anugul,Pokatunga,Pokatunga,759129
Odisha,Angul,Angul,Anugul,Pokunda,Manikjodi,759129
Odisha,Angul,Angul,Anugul,Purunagada,Gadatarasha,759129
Odisha,Angul,Angul,Anugul,Purunakot,Purunakot,759132
Odisha,Angul,Angul,Anugul,Ragadiapada,Badakera,759132
Odisha,Angul,Angul,Anugul,Ragadiapada,Talagarh,759129
Odisha,Angul,Angul,Anugul,Raigoda,Badakantakul,759129
Odisha,Angul,Angul,Anugul,Raigodasorisapal,Tainsi,759127
Odisha,Angul,Angul,Anugul,Ramabereni,Kunursingha,759129
Odisha,Angul,Angul,Anugul,Ramachandrapur,Baragaunia,759129
Odisha,Angul,Angul,Anugul,Ramimunda,Saradhapur,759132
Odisha,Angul,Angul,Anugul,Ramimunda,Tikarpada,759132
Odisha,Angul,Angul,Anugul,Rantalei,Rantalai,759132
Odisha,Angul,Angul,Anugul,Rantaleijungle,Rantalai,759132
Odisha,Angul,Angul,Anugul,Rodasinga,Antula,759129
Odisha,Angul,Angul,Anugul,Sabalabhanga,Baluakata,759129
Odisha,Angul,Angul,Anugul,Sabalabhangajungle,Baluakata,759129
Odisha,Angul,Angul,Anugul,Sachina,Talagarh,759129
Odisha,Angul,Angul,Anugul,Saharagoda,Bantala,759129
Odisha,Angul,Angul,Anugul,Salar,Purunakot,759132
Odisha,Angul,Angul,Anugul,Samakoi,Angarbandha,759129
Odisha,Angul,Angul,Anugul,Sanahinso,Baragaunia,759129
Odisha,Angul,Angul,Anugul,Sanakanjeni,Inkarbandha,759129
Odisha,Angul,Angul,Anugul,Sanakanjenijungle,Inkarbandha,759129
Odisha,Angul,Angul,Anugul,Sanakantakul,Badakantakul,759129
Odisha,Angul,Angul,Anugul,Sankhapur,Sankhapur,759129
Odisha,Angul,Angul,Anugul,Sankrida,Kothabhuin,759127
Odisha,Angul,Angul,Anugul,Saradhapur,Nuamauja,759132
Odisha,Angul,Angul,Anugul,Saradhapur,Saradhapur,759132
Odisha,Angul,Angul,Anugul,Sarangapur,Inkarbandha,759129
Odisha,Angul,Angul,Anugul,Saruali,Nandapur,759132
Odisha,Angul,Angul,Anugul,Sasan,Badakera,759132
Odisha,Angul,Angul,Anugul,Satrang,Inkarbandha,759129
Odisha,Angul,Angul,Anugul,Shyamasundarapur,Baluakata,759129
Odisha,Angul,Angul,Anugul,Singajori,Kunursingha,759129
Odisha,Angul,Angul,Anugul,Sitkoili,Manikjodi,759129
Odisha,Angul,Angul,Anugul,Sorisapal,Matiasahi,759129
Odisha,Angul,Angul,Anugul,Sudasahi,Matiasahi,759129
Odisha,Angul,Angul,Anugul,Surab,Balasingha,759129
Odisha,Angul,Angul,Anugul,Surendrapur,Khinda,759129
Odisha,Angul,Angul,Anugul,Susuda,Susuda,759132
Odisha,Angul,Angul,Anugul,Tabada,Antula,759125
Odisha,Angul,Angul,Anugul,Tainsi,Tainsi,759127
Odisha,Angul,Angul,Anugul,Takarsinga,Jagannathpur,759132
Odisha,Angul,Angul,Anugul,Talabahal,Kunursingha,759129
Odisha,Angul,Angul,Anugul,Talaberena,Badakantakul,759129
Odisha,Angul,Angul,Anugul,Talagarh,Talagarh,759129
Odisha,Angul,Angul,Anugul,Talapada,Khinda,759129
Odisha,Angul,Angul,Anugul,Talasahi,Balasingha,759129
Odisha,Angul,Angul,Anugul,Talisara,Balanga,759132
Odisha,Angul,Angul,Anugul,Tentulipada,Kothabhuin,759127
Odisha,Angul,Angul,Anugul,Thukuli,Kothabhuin,759127
Odisha,Angul,Angul,Anugul,Tikarapada,Tikarpada,759132
Odisha,Angul,Angul,Anugul,Tuluka,Purunakot,759132
Odisha,Angul,Angul,Anugul,Tumuni,Badakera,759132
Odisha,Angul,Angul,Anugul,Utchasal,Saradhapur,759132
Odisha,Angul,Athmallik,Athmallik,Achutapur,Pedipathara,759127
Odisha,Angul,Athmallik,Athmallik,Adeswar,Ambasaramunda,759125
Odisha,Angul,Athmallik,Athmallik,Aida,Aida,759125
Odisha,Angul,Athmallik,Athmallik,Akharakata,Ambasaramunda,759125
Odisha,Angul,Athmallik,Athmallik,Alekhapur,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Amasama,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Ambadarh,Krutibashpur,759125
Odisha,Angul,Athmallik,Athmallik,Ambanali,Sapaghara,759125
Odisha,Angul,Athmallik,Athmallik,Ambasaramunda,Ambasaramunda,759125
Odisha,Angul,Athmallik,Athmallik,Anandapur,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Anantapali,Aida,759125
Odisha,Angul,Athmallik,Athmallik,Antarasinga,Nagoan,759125
Odisha,Angul,Athmallik,Athmallik,Arakhakuda,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Aramapur,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Badabandha,Aida,759125
Odisha,Angul,Athmallik,Athmallik,Badabar,Sanahula,759125
Odisha,Angul,Athmallik,Athmallik,Badadadar,Pedipathara,759127
Odisha,Angul,Athmallik,Athmallik,Baghuakata,Aida,759125
Odisha,Angul,Athmallik,Athmallik,Baghuanali,Paikasahi,759125
Odisha,Angul,Athmallik,Athmallik,Bahalabeda,Tusar,759126
Odisha,Angul,Athmallik,Athmallik,Bahali,Aida,759125
Odisha,Angul,Athmallik,Athmallik,Bajapur,Tusar,759126
Odisha,Angul,Athmallik,,Bajrakot,Kampala,759125
Odisha,Angul,Athmallik,Athmallik,Balipata,Kurumtap,759124
Odisha,Angul,Athmallik,Athmallik,Baluaghara,Madhapur,759125
Odisha,Angul,Athmallik,Athmallik,Banabaspur,Kiakata,759126
Odisha,Angul,Athmallik,Athmallik,Banamalipur,Krutibashpur,759125
Odisha,Angul,Athmallik,Athmallik,Banapur,Tusar,759126
Odisha,Angul,Athmallik,Athmallik,Bandhagaon,Ambasaramunda,759125
Odisha,Angul,Athmallik,Athmallik,Bandhupali,Madhapur,759125
Odisha,Angul,Athmallik,Athmallik,Bankapal,Kiakata,759126
Odisha,Angul,Athmallik,Athmallik,Bankual,Luhasingha,759125
Odisha,Angul,Athmallik,Athmallik,Bantol,Sapaghara,759125
Odisha,Angul,Athmallik,Athmallik,Baradakata,Khandapada,759125
Odisha,Angul,Athmallik,Athmallik,Baradhip,Tapadhol,759127
Odisha,Angul,Athmallik,,Baragaon,,
Odisha,Angul,Athmallik,Athmallik,Barapada,Kurumtap,759124
Odisha,Angul,Athmallik,Athmallik,Barapal,Nagoan,759100
Odisha,Angul,Athmallik,Athmallik,Barapali,Kurumtap,759124
Odisha,Angul,Athmallik,Athmallik,Barataila,Ambasaramunda,759125
Odisha,Angul,Athmallik,Athmallik,Bareni,Basudevpur,759125
Odisha,Angul,Athmallik,Athmallik,Barham,Pedipathara,759127
Odisha,Angul,Athmallik,Athmallik,Basudebapur,Basudevpur,759118
Odisha,Angul,Athmallik,Athmallik,Basudebapur,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Batrakhol,Sapaghara,759125
Odisha,Angul,Athmallik,Athmallik,Beherapada,Basudevpur,759125
Odisha,Angul,Athmallik,Athmallik,Beladula,Khandapada,759125
Odisha,Angul,Athmallik,Athmallik,Belataila,Tusar,759126
Odisha,Angul,Athmallik,Athmallik,Belpunji,Kampala,759125
Odisha,Angul,Athmallik,Athmallik,Bhagabanapur,Basudevpur,759125
Odisha,Angul,Athmallik,Athmallik,Bhagamunda,Kudagaon,759125
Odisha,Angul,Athmallik,Athmallik,Bhagamunda,Sapaghara,759125
Odisha,Angul,Athmallik,Athmallik,Bhagirathipur,Krutibashpur,759125
Odisha,Angul,Athmallik,Athmallik,Bhaliadharapahada,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Bhandarikata,Madhapur,759125
Odisha,Angul,Athmallik,Athmallik,Bhandarimunda,Tusar,759126
Odisha,Angul,Athmallik,Athmallik,Bhangamaliha,Tusar,759126
Odisha,Angul,Athmallik,Athmallik,Bhejidihi,Tusar,759126
Odisha,Angul,Athmallik,Athmallik,Bhobanipur,Aida,759125
Odisha,Angul,Athmallik,Athmallik,Bhogara,Ambasaramunda,759125
Odisha,Angul,Athmallik,Athmallik,Bhoipada,Basudevpur,759125
Odisha,Angul,Athmallik,Athmallik,Bhuasuninali,Ambasaramunda,759125
Odisha,Angul,Athmallik,Athmallik,Bhujapur,Tusar,759126
Odisha,Angul,Athmallik,Athmallik,Bidisingbasu,Paikasahi,759125
Odisha,Angul,Athmallik,Athmallik,Bijamaliha,Tusar,759126
Odisha,Angul,Athmallik,Athmallik,Bijipur,Kudagaon,759125
Odisha,Angul,Athmallik,Athmallik,Binodpur,Kiakata,759126
Odisha,Angul,Athmallik,Athmallik,Bipradihi,Maimura,759125
Odisha,Angul,Athmallik,Athmallik,Brahmanandapur,Nagoan,759125
Odisha,Angul,Athmallik,Athmallik,Buraghat,Basudevpur,759125
Odisha,Angul,Athmallik,Athmallik,Chandrapur,Kudagaon,759125
Odisha,Angul,Athmallik,Athmallik,Cherakhanda Maharapada,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Chheliamunda,Paikasahi,759125
Odisha,Angul,Athmallik,Athmallik,Chhepra,Kampala,759125
Odisha,Angul,Athmallik,Athmallik,Chilakhandi,Purunmantri,759125
Odisha,Angul,Athmallik,Athmallik,Chintamanipur,Ambasaramunda,759125
Odisha,Angul,Athmallik,Athmallik,Dahimal,Luhasingha,759125
Odisha,Angul,Athmallik,Athmallik,Dalaki,Luhasingha,759125
Odisha,Angul,Athmallik,Athmallik,Damabahal,Krutibashpur,759125
Odisha,Angul,Athmallik,Athmallik,Damodarapur,Kurumtap,759124
Odisha,Angul,Athmallik,Athmallik,Dangadarh,Pedipathara,759127
Odisha,Angul,Athmallik,Athmallik,Daruha,Jamudoli,759125
Odisha,Angul,Athmallik,Athmallik,Daulatpur,Basudevpur,759125
Odisha,Angul,Athmallik,Athmallik,Deberapali,Kampala,759125
Odisha,Angul,Athmallik,Athmallik,Depur,Paikasahi,759125
Odisha,Angul,Athmallik,Athmallik,Deulabeda,Purunmantri,759125
Odisha,Angul,Athmallik,Athmallik,Deuli,Kampala,759125
Odisha,Angul,Athmallik,Athmallik,Dhandatopa,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Dhatukibahal,Maimura,759125
Odisha,Angul,Athmallik,Athmallik,Dhodakhola,Maimura,759125
Odisha,Angul,Athmallik,Athmallik,Dhulianali,Lunahandi,759125
Odisha,Angul,Athmallik,Athmallik,Dhuliapada,Kiakata,759126
Odisha,Angul,Athmallik,Athmallik,Dhusarapada,Lunahandi,759125
Odisha,Angul,Athmallik,Athmallik,Digipadar,Madhapur,759125
Odisha,Angul,Athmallik,,Dimiribeda,,
Odisha,Angul,Athmallik,Athmallik,Dinabandhupur,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Dolamundei,Luhasingha,759125
Odisha,Angul,Athmallik,Athmallik,Dudhianali(Bada),Jamudoli,759125
Odisha,Angul,Athmallik,Athmallik,Dudhianalisana,Nagoan,759125
Odisha,Angul,Athmallik,Athmallik,Dudum,Kampala,759125
Odisha,Angul,Athmallik,Athmallik,Fakirpur,Khandapada,759125
Odisha,Angul,Athmallik,Athmallik,Gadadharpur,Madhapur,759125
Odisha,Angul,Athmallik,Athmallik,Gadakhol Mundia,Paikasahi,759125
Odisha,Angul,Athmallik,Athmallik,Gandaramunda,Kampala,759125
Odisha,Angul,Athmallik,Athmallik,Gangapani,Luhasingha,759125
Odisha,Angul,Athmallik,Athmallik,Gautampur,Basudevpur,759125
Odisha,Angul,Athmallik,Athmallik,Gedhilimunda,Tapadhol,759127
Odisha,Angul,Athmallik,Athmallik,Gedhilimundajungle,Tapadhol,759127
Odisha,Angul,Athmallik,Athmallik,Ghanajori,Maimura,759125
Odisha,Angul,Athmallik,Athmallik,Ghanamundia,Paikasahi,759125
Odisha,Angul,Athmallik,Athmallik,Ghodabandhuni,Sanahula,759125
Odisha,Angul,Athmallik,Athmallik,Ghodagadi,Khandapada,759125
Odisha,Angul,Athmallik,Athmallik,Ghurunda,Kudagaon,759125
Odisha,Angul,Athmallik,Athmallik,Girida,Ambasaramunda,759125
Odisha,Angul,Athmallik,Athmallik,Gopalpur,Purunmantri,759129
Odisha,Angul,Athmallik,Athmallik,Gopapur,Maimura,759125
Odisha,Angul,Athmallik,Athmallik,Gopinathapur,Katapada,759125
Odisha,Angul,Athmallik,Athmallik,Gourangpur,Khandapada,759125
Odisha,Angul,Athmallik,Athmallik,Guapada,Tusar,759126
Odisha,Angul,Athmallik,Athmallik,Gudugudi,Basudevpur,759125
Odisha,Angul,Athmallik,Athmallik,Gunduri,Sanahula,759125
Odisha,Angul,Athmallik,Athmallik,Gundurikhola,Kurumtap,759124
Odisha,Angul,Athmallik,Athmallik,Haridakotha,Nagoan,759125
Odisha,Angul,Athmallik,Kishorenagar,Haridanali,,759126
Odisha,Angul,Athmallik,Athmallik,Hariharapur,Nagoan,759125
Odisha,Angul,Athmallik,Athmallik,Haripur,Khandapada,759125
Odisha,Angul,Athmallik,Athmallik,Hatasimili,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Hatigenja,Katapada,759125
Odisha,Angul,Athmallik,Athmallik,Hatuapada,Kiakata,759126
Odisha,Angul,Athmallik,Athmallik,Helei,Kiakata,759126
Odisha,Angul,Athmallik,Athmallik,Hemamura,Sapaghara,759125
Odisha,Angul,Athmallik,Athmallik,Hingamandal,Purunmantri,759125
Odisha,Angul,Athmallik,Athmallik,Hinjagola,Ambasaramunda,759125
Odisha,Angul,Athmallik,Athmallik,Hinsei,Kudagaon,759125
Odisha,Angul,Athmallik,Athmallik,Jadupur,Nagoan,759125
Odisha,Angul,Athmallik,Athmallik,Jadupurjungle,Nagoan,759125
Odisha,Angul,Athmallik,Athmallik,Jagabandhupur,Purunmantri,759125
Odisha,Angul,Athmallik,Athmallik,Jagadalapur,Paikasahi,759125
Odisha,Angul,Athmallik,Athmallik,Jagannathpur,Tusar,759126
Odisha,Angul,Athmallik,Athmallik,Jagatapur,Nagoan,759125
Odisha,Angul,Athmallik,Athmallik,Jamudoli,Jamudoli,759125
Odisha,Angul,Athmallik,Athmallik,Janakapur,Ambasaramunda,759125
Odisha,Angul,Athmallik,Athmallik,Janhimunda,Lunahandi,759125
Odisha,Angul,Athmallik,Athmallik,Jarapada,Krutibashpur,759127
Odisha,Angul,Athmallik,Athmallik,Jayapur,Sanahula,759125
Odisha,Angul,Athmallik,Athmallik,Jhamakarei,Kiakata,759126
Odisha,Angul,Athmallik,Athmallik,Jharabainda,Pedipathara,759127
Odisha,Angul,Athmallik,Athmallik,Jharapada,Jamudoli,759125
Odisha,Angul,Athmallik,Athmallik,Jhatimunda,Kiakata,759126
Odisha,Angul,Athmallik,Athmallik,Jhilimunda,Pedipathara,759127
Odisha,Angul,Athmallik,Athmallik,Jhudungamal,Tusar,759126
Odisha,Angul,Athmallik,Athmallik,Jhurikata,Kiakata,759126
Odisha,Angul,Athmallik,Athmallik,Jirad,Purunmantri,759125
Odisha,Angul,Athmallik,Athmallik,Jogibandha,Thakuragarh,759125
Odisha,Angul,Athmallik,Athmallik,Kadapada,Kiakata,759126
Odisha,Angul,Athmallik,,Kaintragarh,,
Odisha,Angul,Athmallik,Athmallik,Kairighati,Purunmantri,759125
Odisha,Angul,Athmallik,Athmallik,Kaladhuni,Kampala,759125
Odisha,Angul,Athmallik,Athmallik,Kalamati,Aida,759125
Odisha,Angul,Athmallik,Athmallik,Kalapatanali,Paikasahi,759125
Odisha,Angul,Athmallik,Athmallik,Kalijikata,Maimura,759125
Odisha,Angul,Athmallik,Athmallik,Kamalapur,Nagoan,759125
Odisha,Angul,Athmallik,Athmallik,Kampala,Kampala,759125
Odisha,Angul,Athmallik,Athmallik,Kandhapada,Khandapada,759125
